End loading stock_info
End preprocessing !
train shape, test shape :  (14400, 5) (4800, 5)
x_train shape, x_valid shpae : (11504, 20, 2) (2876, 20, 2)
y_train shape, y_valid shpae : (11504, 1) (2876, 1)
test_feature shape, test_label shpae : (4780, 20, 2) (4780, 1)
End making dataset !
End fitting !
Load weights !
End prediction !
len_ori : 4780, len_pred : 4780
======= difference ======= 
idx : 1, pred - ori : -0.000951
idx : 2, pred - ori : -0.001110
idx : 3, pred - ori : -0.000040
idx : 4, pred - ori : -0.001214
idx : 5, pred - ori : -0.000497
idx : 6, pred - ori : 0.001230
idx : 7, pred - ori : 0.001778
idx : 8, pred - ori : 0.001043
idx : 9, pred - ori : 0.000244
idx : 10, pred - ori : -0.000412
idx : 11, pred - ori : -0.001743
idx : 12, pred - ori : -0.000414
idx : 13, pred - ori : -0.000608
idx : 14, pred - ori : 0.000176
idx : 15, pred - ori : 0.000936
idx : 16, pred - ori : -0.000750
idx : 17, pred - ori : -0.000608
idx : 18, pred - ori : -0.001295
idx : 19, pred - ori : -0.001140
idx : 20, pred - ori : -0.001010
idx : 21, pred - ori : 0.000858
idx : 22, pred - ori : 0.000022
idx : 23, pred - ori : -0.000079
idx : 24, pred - ori : 0.001875
idx : 25, pred - ori : 0.000265
idx : 26, pred - ori : 0.000424
idx : 27, pred - ori : 0.001561
idx : 28, pred - ori : 0.000178
idx : 29, pred - ori : 0.001168
idx : 30, pred - ori : -0.000769
idx : 31, pred - ori : -0.002223
idx : 32, pred - ori : -0.002395
idx : 33, pred - ori : -0.000429
idx : 34, pred - ori : 0.000611
idx : 35, pred - ori : 0.000149
idx : 36, pred - ori : 0.000387
idx : 37, pred - ori : -0.000490
idx : 38, pred - ori : -0.000500
idx : 39, pred - ori : -0.000352
idx : 40, pred - ori : 0.000015
idx : 41, pred - ori : 0.000849
idx : 42, pred - ori : 0.000926
idx : 43, pred - ori : -0.001627
idx : 44, pred - ori : -0.002304
idx : 45, pred - ori : -0.001561
idx : 46, pred - ori : -0.001264
idx : 47, pred - ori : -0.000624
idx : 48, pred - ori : -0.002276
